,support,itemsets
171,0.17073170731707318,"frozenset({'Kay Beauty Matte Compact', 'NYX Professional Makeup Born To Glow Liquid Illuminator'})"
172,0.17073170731707318,"frozenset({'NYX Professional Makeup Liquid Suede Cream Lipstick', 'Kay Beauty Matte Compact'})"
173,0.17073170731707318,"frozenset({'Kay Beauty Matte Compact', 'Nykaa Dual Tone Nail Enamel Remover'})"
174,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01'})"
175,0.17073170731707318,"frozenset({'Kay Beauty Matte Compact', 'Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow'})"
176,0.3170731707317073,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Kay Beauty Matte Compact'})"
177,0.1951219512195122,"frozenset({'Kay Beauty Matte Compact', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
178,0.24390243902439024,"frozenset({'Kay Beauty Matte Compact', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
179,0.17073170731707318,"frozenset({'Kay Beauty Matte Drama Long Stay Lipstick', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
180,0.17073170731707318,"frozenset({""L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender"", 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
181,0.17073170731707318,"frozenset({""L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick"", 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
182,0.3170731707317073,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
183,0.17073170731707318,"frozenset({'Lakme Absolute Plush Matte Lip Crayon', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
184,0.17073170731707318,"frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight', 'Lakme Kajal - Black'})"
185,0.17073170731707318,"frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight', 'Maybelline New York Tattoo Studio Gel Eyeliner Pencil'})"
186,0.17073170731707318,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
187,0.1951219512195122,"frozenset({'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
188,0.17073170731707318,"frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
189,0.17073170731707318,"frozenset({""L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender"", 'Lakme Absolute Argan Oil Serum Foundation With SPF 45'})"
190,0.1951219512195122,"frozenset({""L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender"", 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
